"","Title","Year","Genre","Plot","Actors","imdbRating"
"138","Pirates of the Caribbean: At World's End",2007,"Action, Adventure, Fantasy","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","7.1"
"139","Body of Lies",2008,"Action, Drama, Thriller","A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.","Leonardo DiCaprio, Russell Crowe, Mark Strong, Golshifteh Farahani","7.1"
"140","Valkyrie",2008,"Drama, History, Thriller, War","A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.","Tom Cruise, Kenneth Branagh, Bill Nighy, Tom Wilkinson","7.1"
"141","The Intern",2015,"Comedy, Drama","Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.","Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm","7.1"
"142","Meet the Parents",2000,"Comedy, Romance","Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.","Robert De Niro, Ben Stiller, Teri Polo, Blythe Danner","7.0"
"143","Jarhead",2005,"Action, Biography, Drama, War","A psychological study of operations desert shield and desert storm during the gulf war; through the eyes of a U.S marine sniper who struggles to cope with the possibility his girlfriend may be cheating on him back home.","Jake Gyllenhaal, Scott MacDonald, Peter Sarsgaard, Jamie Foxx","7.0"
"144","Jack Reacher",2012,"Action, Crime, Thriller","A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.","Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo","7.0"
"145","World War Z",2013,"Action, Adventure, Horror, Sci-Fi","Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.","Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale","7.0"
"146","Burn After Reading",2008,"Comedy, Crime, Drama, Thriller","A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.","George Clooney, Frances McDormand, Brad Pitt, John Malkovich","7.0"
"147","Tropic Thunder",2008,"Action, Comedy, War","Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.","Jeff Kahn, Robert Downey Jr., Anthony Ruivivar, Jack Black","7.0"
"148","Public Enemies",2009,"Biography, Crime, Drama, History","The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.","Christian Bale, Christian Stolte, Jason Clarke, Johnny Depp","7.0"
"149","Iron Man 2",2010,"Action, Adventure, Sci-Fi","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson","7.0"
"150","RED",2010,"Action, Comedy, Crime, Thriller","When his peaceful life is threatened by a high-tech assassin, former black-ops Agent Frank Moses (Bruce Willis) reassembles his old team in a last ditch effort to survive and uncover his assailants.","Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown","7.0"
"151","Oblivion",2013,"Action, Adventure, Sci-Fi","A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.","Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough","7.0"
