"","Title","Year","Genre","Plot","Actors","imdbRating"
"71","The Last Samurai",2003,"Action, Drama, War","An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.","Ken Watanabe, Tom Cruise, William Atherton, Chad Lindberg","7.7"
"72","The Machinist",2004,"Drama, Thriller","An industrial worker who hasn't slept in a year begins to doubt his own sanity.","Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian","7.7"
"73","3:10 to Yuma",2007,"Action, Crime, Drama, Western","A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.","Russell Crowe, Christian Bale, Logan Lerman, Dallas Roberts","7.7"
"74","Brokeback Mountain",2005,"Drama, Romance","The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.","Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche","7.7"
"75","Zodiac",2007,"Crime, Drama, Mystery, Thriller","In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.","Jake Gyllenhaal, Mark Ruffalo, Anthony Edwards, Robert Downey Jr.","7.7"
"76","Silver Linings Playbook",2012,"Comedy, Drama, Romance","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","7.7"
"77","Once Upon a Time... in Hollywood",2019,"Comedy, Drama","A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.","Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch","7.7"
"78","The Godfather: Part III",1990,"Crime, Drama","In the midst of trying to legitimize his business dealings in New York City and Italy in 1979, aging Mafia Don Michael Corleone seeks to avow for his sins, while taking his nephew Vincent Mancini under his wing.","Al Pacino, Diane Keaton, Talia Shire, Andy Garcia","7.6"
"79","Interview with the Vampire: The Vampire Chronicles",1994,"Drama, Horror","A vampire tells his epic life story: love, betrayal, loneliness, and hunger.","Brad Pitt, Christian Slater, Virginia McCollam, John McConnell","7.6"
"80","Apollo 13",1995,"Adventure, Drama, History","NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.","Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise","7.6"
"81","Die Hard with a Vengeance",1995,"Action, Adventure, Thriller","John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building.","Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene","7.6"
"82","Sleepers",1996,"Crime, Drama, Thriller","After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them them a chance for revenge.","Kevin Bacon, Billy Crudup, Robert De Niro, Ron Eldard","7.6"
"83","Fear and Loathing in Las Vegas",1998,"Adventure, Comedy, Drama","An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.","Johnny Depp, Benicio Del Toro, Tobey Maguire, Michael Lee Gogin","7.6"
"84","American Psycho",2000,"Comedy, Crime, Drama","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","Christian Bale, Justin Theroux, Josh Lucas, Bill Sage","7.6"
"85","Minority Report",2002,"Action, Crime, Mystery, Sci-Fi, Thriller","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.","Tom Cruise, Max von Sydow, Steve Harris, Neal McDonough","7.6"
"86","Blow",2001,"Biography, Crime, Drama","The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.","Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths","7.6"
"87","Sherlock Holmes",2009,"Action, Adventure, Crime, Mystery, Thriller","Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong","7.6"
"88","Moneyball",2011,"Biography, Drama, Sport","Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright","7.6"
"89","Les Misérables",2012,"Drama, History, Musical, Romance, War","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.","Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried","7.6"
"90","End of Watch",2012,"Action, Crime, Drama, Thriller","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.","Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick","7.6"
"91","Fury",2014,"Action, Drama, War","A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.","Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña","7.6"
"92","Spider-Man: Far from Home",2019,"Action, Adventure, Sci-Fi","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei","7.6"
"93","The Devil's Advocate",1997,"Drama, Mystery, Thriller","An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.","Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones","7.5"
"94","Gangs of New York",2002,"Crime, Drama","In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.","Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent","7.5"
"95","The Aviator",2004,"Biography, Drama","A biopic depicting the early years of legendary Director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.","Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly","7.5"
"96","Collateral",2004,"Crime, Drama, Thriller","A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.","Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo","7.5"
"97","Kiss Kiss Bang Bang",2005,"Action, Comedy, Crime, Mystery, Thriller","A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor.","Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen","7.5"
"98","The Assassination of Jesse James by the Coward Robert Ford",2007,"Biography, Crime, Drama, History, Western","Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader.","Brad Pitt, Mary-Louise Parker, Brooklynn Proulx, Dustin Bollinger","7.5"
"99","Source Code",2011,"Action, Drama, Mystery, Sci-Fi, Thriller","A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.","Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright","7.5"
"100","Sherlock Holmes: A Game of Shadows",2011,"Action, Adventure, Crime, Mystery, Thriller","Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.","Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams","7.5"
"101","Nocturnal Animals",2016,"Drama, Thriller","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.","Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson","7.5"
"102","Eyes Wide Shut",1999,"Drama, Mystery, Thriller","A New York City doctor embarks on a harrowing, night-long odyssey of sexual and moral discovery after his wife reveals a painful secret to him.","Tom Cruise, Nicole Kidman, Madison Eginton, Jackie Sawiris","7.4"
"103","Equilibrium",2002,"Action, Drama, Sci-Fi, Thriller","In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.","Christian Bale, Dominic Purcell, Sean Bean, Christian Kahrmann","7.4"
"104","Master and Commander: The Far Side of the World",2003,"Action, Adventure, Drama, History, War","During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.","Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall","7.4"
"105","Babel",2006,"Drama","Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.","Brad Pitt, Cate Blanchett, Mohamed Akhzam, Peter Wight","7.4"
"106","Limitless",2011,"Sci-Fi, Thriller","With the help of a mysterious pill that enables the user to access one hundred percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.","Bradley Cooper, Robert De Niro, Abbie Cornish, Andrew Howard","7.4"
"107","Mission: Impossible - Ghost Protocol",2011,"Action, Adventure, Thriller","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner","7.4"
"108","Looper",2012,"Action, Crime, Drama, Sci-Fi, Thriller","In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.","Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","7.4"
"109","Cloud Atlas",2012,"Action, Drama, Mystery, Sci-Fi","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.","Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving","7.4"
"110","The Next Three Days",2010,"Action, Crime, Drama, Romance, Thriller","A married couple's life is turned upside down when the wife is accused of a murder.","Russell Crowe, Elizabeth Banks, Michael Buie, Moran Atias","7.4"
"111","Southpaw",2015,"Drama, Sport","A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction.","Jake Gyllenhaal, Rachel McAdams, Forest Whitaker, Oona Laurence","7.4"
"112","The Judge",2014,"Crime, Drama","Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth and, along the way, reconnects with his estranged family.","Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton","7.4"
